Source_Index	Exposure_Time(s)	Fiber_Slit_Height(mm)	Mean_SNR	SNR_Hb(486nm)	SNR_OIII(501nm)	SNR_Ha(656nm)	SNR_SII(672nm)	SNR_465.0nm	SNR_466.0nm	SNR_467.0nm	SNR_468.0nm	SNR_469.0nm	SNR_470.0nm	SNR_471.0nm	SNR_472.0nm	SNR_473.0nm	SNR_474.0nm	SNR_475.0nm	SNR_476.0nm	SNR_477.0nm	SNR_478.0nm	SNR_479.0nm	SNR_480.0nm	SNR_481.0nm	SNR_482.0nm	SNR_483.0nm	SNR_484.0nm	SNR_485.0nm	SNR_486.0nm	SNR_487.0nm	SNR_488.0nm	SNR_489.0nm	SNR_490.0nm	SNR_491.0nm	SNR_492.0nm	SNR_493.0nm	SNR_494.0nm	SNR_495.0nm	SNR_496.0nm	SNR_497.0nm	SNR_498.0nm	SNR_499.0nm	SNR_500.0nm	SNR_501.0nm	SNR_502.0nm	SNR_503.0nm	SNR_504.0nm	SNR_505.0nm	SNR_625.0nm	SNR_626.0nm	SNR_627.0nm	SNR_628.0nm	SNR_629.0nm	SNR_630.0nm	SNR_631.0nm	SNR_632.0nm	SNR_633.0nm	SNR_634.0nm	SNR_635.0nm	SNR_636.0nm	SNR_637.0nm	SNR_638.0nm	SNR_639.0nm	SNR_640.0nm	SNR_641.0nm	SNR_642.0nm	SNR_643.0nm	SNR_644.0nm	SNR_645.0nm	SNR_646.0nm	SNR_647.0nm	SNR_648.0nm	SNR_649.0nm	SNR_650.0nm	SNR_651.0nm	SNR_652.0nm	SNR_653.0nm	SNR_654.0nm	SNR_655.0nm	SNR_656.0nm	SNR_657.0nm	SNR_658.0nm	SNR_659.0nm	SNR_660.0nm	SNR_661.0nm	SNR_662.0nm	SNR_663.0nm	SNR_664.0nm	SNR_665.0nm	SNR_666.0nm	SNR_667.0nm	SNR_668.0nm	SNR_669.0nm	SNR_670.0nm	SNR_671.0nm	SNR_672.0nm	SNR_673.0nm	SNR_674.0nm	SNR_675.0nm	SNR_676.0nm	SNR_677.0nm	SNR_678.0nm	SNR_679.0nm	SNR_680.0nm
0	900	0	14.58	15.06	15.53	15.18	14.91	13.14	13.21	13.31	13.38	13.44	13.47	13.56	13.61	13.62	13.68	13.75	13.81	13.90	14.01	14.13	14.23	14.36	14.50	14.61	14.78	14.95	15.06	15.22	15.36	15.46	15.58	15.65	15.74	15.79	15.86	15.91	15.90	15.87	15.83	15.77	15.68	15.53	15.40	15.18	14.99	14.75	13.42	13.48	13.52	13.57	13.62	13.67	13.71	13.73	13.76	13.79	13.82	13.85	13.89	13.94	14.00	14.04	14.10	14.16	14.22	14.27	14.33	14.40	14.47	14.54	14.62	14.70	14.79	14.88	14.92	15.02	15.09	15.18	15.26	15.33	15.40	15.45	15.47	15.44	15.48	15.45	15.40	15.36	15.30	15.23	15.16	15.10	15.01	14.91	14.80	14.67	14.49	14.29	14.11	13.92	13.73	13.51
0	900	5	14.58	14.96	15.53	15.13	14.95	13.16	13.23	13.33	13.40	13.46	13.48	13.57	13.62	13.62	13.67	13.74	13.80	13.88	13.99	14.10	14.20	14.32	14.44	14.55	14.70	14.86	14.96	15.10	15.23	15.34	15.51	15.64	15.77	15.84	15.93	15.97	15.97	15.94	15.90	15.82	15.71	15.53	15.37	15.16	14.95	14.71	13.47	13.52	13.57	13.62	13.66	13.71	13.75	13.77	13.80	13.83	13.86	13.89	13.93	13.97	14.03	14.07	14.13	14.19	14.25	14.29	14.36	14.41	14.48	14.55	14.62	14.70	14.79	14.86	14.90	14.99	15.06	15.13	15.20	15.26	15.32	15.37	15.38	15.39	15.44	15.44	15.43	15.41	15.37	15.28	15.21	15.15	15.05	14.95	14.84	14.70	14.51	14.31	14.12	13.93	13.73	13.51
0	900	10	14.40	14.67	15.25	14.93	14.69	13.13	13.20	13.29	13.35	13.40	13.42	13.50	13.54	13.53	13.58	13.63	13.68	13.76	13.84	13.94	14.03	14.13	14.24	14.32	14.46	14.59	14.67	14.79	14.90	14.99	15.14	15.26	15.40	15.48	15.60	15.66	15.67	15.64	15.59	15.51	15.41	15.25	15.10	14.88	14.68	14.45	13.50	13.55	13.59	13.64	13.68	13.72	13.76	13.78	13.80	13.83	13.85	13.88	13.91	13.95	14.00	14.03	14.09	14.14	14.19	14.22	14.29	14.33	14.40	14.45	14.51	14.58	14.65	14.72	14.74	14.82	14.87	14.93	14.98	15.03	15.07	15.11	15.11	15.12	15.15	15.15	15.13	15.08	15.06	15.00	14.94	14.88	14.79	14.69	14.58	14.45	14.28	14.07	13.89	13.71	13.52	13.30
0	900	15	14.10	14.27	14.71	14.64	14.22	13.01	13.07	13.15	13.21	13.25	13.26	13.33	13.36	13.34	13.38	13.41	13.45	13.51	13.59	13.67	13.73	13.82	13.91	13.98	14.09	14.21	14.27	14.37	14.47	14.54	14.67	14.78	14.90	14.98	15.08	15.14	15.14	15.10	15.05	14.97	14.87	14.71	14.57	14.35	14.16	13.92	13.47	13.51	13.55	13.59	13.63	13.67	13.70	13.71	13.73	13.75	13.77	13.79	13.82	13.84	13.89	13.91	13.96	14.00	14.05	14.07	14.12	14.16	14.21	14.26	14.31	14.36	14.42	14.48	14.49	14.55	14.59	14.64	14.68	14.70	14.75	14.77	14.77	14.77	14.80	14.79	14.76	14.72	14.66	14.57	14.49	14.42	14.33	14.22	14.10	13.97	13.79	13.58	13.41	13.23	13.04	12.83
0	900	20	13.70	13.78	14.00	14.27	13.66	12.75	12.82	12.92	12.97	13.00	13.00	13.06	13.07	13.05	13.07	13.10	13.12	13.16	13.22	13.29	13.34	13.41	13.48	13.54	13.64	13.73	13.78	13.86	13.94	13.99	14.11	14.21	14.30	14.37	14.46	14.50	14.48	14.43	14.36	14.27	14.17	14.00	13.85	13.62	13.42	13.16	13.36	13.40	13.43	13.47	13.50	13.54	13.56	13.57	13.58	13.59	13.60	13.61	13.64	13.66	13.70	13.71	13.75	13.78	13.82	13.83	13.87	13.90	13.94	13.98	14.02	14.07	14.11	14.16	14.16	14.21	14.24	14.27	14.31	14.32	14.35	14.36	14.35	14.34	14.36	14.34	14.31	14.25	14.18	14.08	13.98	13.90	13.78	13.66	13.53	13.38	13.20	12.99	12.80	12.60	12.40	12.18
0	900	25	13.22	13.22	13.14	13.86	13.06	12.39	12.47	12.56	12.62	12.66	12.66	12.71	12.72	12.68	12.69	12.70	12.71	12.75	12.80	12.85	12.88	12.94	13.00	13.03	13.11	13.20	13.22	13.29	13.35	13.39	13.49	13.57	13.64	13.69	13.75	13.76	13.72	13.65	13.57	13.47	13.33	13.14	12.93	12.63	12.32	11.95	13.20	13.23	13.26	13.30	13.32	13.34	13.37	13.37	13.37	13.38	13.38	13.38	13.40	13.41	13.44	13.44	13.48	13.51	13.53	13.53	13.56	13.59	13.62	13.64	13.67	13.71	13.75	13.78	13.77	13.81	13.83	13.86	13.88	13.88	13.90	13.90	13.88	13.85	13.85	13.82	13.77	13.70	13.62	13.51	13.41	13.32	13.19	13.06	12.91	12.74	12.54	12.32	12.11	11.89	11.67	11.43
0	900	30	12.61	12.59	11.75	13.38	12.34	11.92	11.99	12.07	12.14	12.18	12.18	12.24	12.25	12.22	12.24	12.24	12.24	12.26	12.29	12.33	12.35	12.40	12.44	12.46	12.52	12.58	12.59	12.64	12.69	12.70	12.77	12.82	12.88	12.89	12.91	12.88	12.79	12.65	12.50	12.30	12.07	11.75	11.44	11.03	10.60	10.10	12.95	12.98	13.01	13.04	13.07	13.08	13.10	13.10	13.09	13.09	13.09	13.08	13.09	13.10	13.12	13.12	13.15	13.17	13.19	13.18	13.20	13.22	13.24	13.25	13.27	13.30	13.33	13.35	13.33	13.36	13.36	13.38	13.38	13.37	13.37	13.35	13.31	13.26	13.25	13.19	13.12	13.04	12.95	12.83	12.72	12.62	12.49	12.34	12.18	12.00	11.78	11.54	11.30	11.05	10.79	10.50
1	1800	0	31.74	32.75	34.19	32.94	32.75	28.45	28.61	28.82	28.98	29.12	29.20	29.39	29.52	29.54	29.68	29.83	29.98	30.19	30.43	30.69	30.92	31.20	31.50	31.76	32.13	32.50	32.75	33.09	33.41	33.65	33.91	34.08	34.29	34.41	34.61	34.73	34.75	34.72	34.68	34.59	34.43	34.19	33.95	33.57	33.23	32.81	28.99	29.11	29.20	29.31	29.41	29.52	29.61	29.67	29.74	29.81	29.88	29.95	30.06	30.15	30.28	30.37	30.51	30.66	30.79	30.89	31.05	31.19	31.35	31.51	31.69	31.87	32.07	32.27	32.37	32.59	32.75	32.94	33.13	33.28	33.44	33.57	33.62	33.60	33.70	33.65	33.59	33.52	33.43	33.30	33.17	33.08	32.92	32.75	32.55	32.31	31.98	31.60	31.27	30.92	30.56	30.16
1	1800	5	31.77	32.55	34.22	32.87	32.86	28.50	28.66	28.87	29.02	29.16	29.23	29.42	29.54	29.56	29.69	29.83	29.97	30.17	30.40	30.64	30.86	31.13	31.40	31.64	31.98	32.33	32.55	32.87	33.17	33.41	33.77	34.07	34.37	34.55	34.77	34.89	34.91	34.87	34.84	34.71	34.53	34.22	33.94	33.55	33.19	32.76	29.10	29.22	29.31	29.43	29.53	29.62	29.72	29.78	29.85	29.92	29.98	30.05	30.15	30.24	30.37	30.45	30.60	30.73	30.86	30.96	31.11	31.24	31.40	31.55	31.71	31.89	32.08	32.26	32.34	32.55	32.69	32.87	33.04	33.16	33.31	33.43	33.48	33.52	33.64	33.67	33.67	33.64	33.58	33.42	33.30	33.20	33.04	32.86	32.65	32.39	32.04	31.66	31.32	30.95	30.59	30.18
1	1800	10	31.48	32.02	33.71	32.52	32.41	28.48	28.63	28.83	28.97	29.10	29.15	29.32	29.43	29.43	29.54	29.67	29.78	29.96	30.16	30.38	30.56	30.80	31.04	31.23	31.54	31.84	32.02	32.29	32.55	32.75	33.09	33.37	33.67	33.88	34.15	34.31	34.36	34.34	34.28	34.16	34.00	33.71	33.45	33.06	32.72	32.30	29.21	29.32	29.41	29.52	29.62	29.71	29.79	29.85	29.91	29.97	30.03	30.09	30.17	30.26	30.37	30.44	30.57	30.70	30.81	30.89	31.03	31.14	31.29	31.41	31.55	31.71	31.87	32.02	32.09	32.26	32.38	32.52	32.66	32.76	32.87	32.96	33.00	33.04	33.13	33.15	33.12	33.05	33.04	32.92	32.83	32.74	32.58	32.41	32.21	31.98	31.65	31.27	30.93	30.60	30.25	29.84
