Wavelength(nm)	Resolution_0mm_slit_height	Resolution_5mm_slit_height	Resolution_10mm_slit_height	Resolution_15mm_slit_height	Resolution_20mm_slit_height	Resolution_25mm_slit_height	Resolution_30mm_slit_height
465.00	17134.97	17060.42	16809.31	16389.99	15737.05	14961.64	14164.48
466.00	17121.88	17054.06	16814.21	16396.47	15732.93	14979.61	14203.17
467.00	17101.22	17029.51	16807.90	16375.90	15754.31	14985.92	14196.52
468.00	17094.14	17029.14	16805.40	16380.68	15760.81	14990.66	14233.34
469.00	17088.61	17027.36	16801.72	16363.37	15753.45	15007.49	14263.19
470.00	17093.65	17007.37	16766.92	16377.11	15745.59	15046.24	14252.04
471.00	17062.43	17005.56	16783.64	16361.45	15757.02	15048.86	14295.77
472.00	17082.64	17011.33	16776.23	16377.03	15752.60	15060.38	14283.14
473.00	17069.96	17010.23	16804.60	16375.47	15774.58	15069.68	14294.29
474.00	17090.81	17003.06	16799.73	16382.19	15761.52	15059.78	14330.21
475.00	17084.95	17003.36	16798.69	16361.71	15779.89	15047.03	14334.17
476.00	17097.92	17010.40	16798.49	16383.85	15771.79	15074.62	14355.65
477.00	17097.24	17015.02	16813.83	16372.35	15776.75	15083.55	14356.88
478.00	17080.32	17005.54	16789.66	16377.46	15781.15	15092.66	14374.14
479.00	17086.28	17026.51	16811.62	16388.71	15782.22	15111.77	14398.35
480.00	17079.58	17022.19	16826.93	16371.94	15791.40	15131.92	14387.92
481.00	17086.82	17028.01	16824.66	16412.38	15799.90	15130.54	14422.64
482.00	17108.11	17007.40	16817.36	16403.24	15800.15	15143.96	14423.16
483.00	17101.59	17041.61	16830.74	16400.17	15826.48	15131.45	14458.46
484.00	17090.52	17026.69	16837.21	16415.62	15815.21	15154.65	14467.64
485.00	17090.17	17037.84	16834.04	16417.87	15840.97	15196.31	14480.02
486.00	17088.72	17046.32	16843.66	16440.38	15861.90	15203.93	14503.52
487.00	17089.65	17050.64	16833.46	16450.49	15872.76	15223.04	14543.79
488.00	17102.23	17039.66	16842.82	16478.39	15904.99	15242.20	14578.96
489.00	17112.93	17065.93	16860.25	16508.14	15912.40	15282.53	14594.12
490.00	17140.35	17078.52	16892.20	16533.18	15965.97	15310.71	14641.94
491.00	17142.65	17090.77	16903.99	16523.52	15976.91	15361.42	14685.17
492.00	17183.38	17117.93	16956.01	16557.57	16012.55	15401.30	14735.39
493.00	17213.13	17123.41	16958.52	16612.06	16073.04	15450.21	14789.74
494.00	17230.68	17162.95	16993.45	16639.06	16130.68	15518.64	14838.24
495.00	17291.76	17193.09	17033.35	16696.11	16159.21	15554.30	14894.09
496.00	17338.62	17275.16	17077.63	16720.75	16210.77	15623.80	14970.18
497.00	17401.20	17308.37	17116.29	16772.90	16286.81	15701.19	15022.23
498.00	17436.06	17372.59	17170.71	16851.82	16339.31	15771.55	15114.17
499.00	17506.84	17426.33	17234.08	16940.67	16425.15	15861.41	15178.09
500.00	17572.97	17521.32	17320.32	16989.77	16494.45	15924.36	15279.46
501.00	17656.16	17587.58	17396.72	17096.40	16579.01	16013.14	15362.20
502.00	17747.02	17625.46	17484.24	17195.69	16697.68	16104.60	15475.69
503.00	17835.82	17769.65	17567.02	17258.82	16797.47	16225.60	15581.71
504.00	17915.85	17838.91	17688.40	17400.22	16914.34	16326.56	15701.38
505.00	18013.14	17933.75	17808.71	17485.28	17018.65	16454.94	15826.11
625.00	17130.53	17023.65	16711.17	16273.38	15597.28	14875.00	14133.32
626.00	17140.01	17019.81	16713.63	16233.68	15607.08	14875.19	14128.61
627.00	17131.71	17023.93	16737.58	16257.24	15618.84	14886.67	14115.40
628.00	17120.72	17020.99	16725.73	16238.82	15607.35	14892.40	14114.52
629.00	17139.96	17021.15	16721.81	16252.61	15610.20	14896.44	14125.77
630.00	17148.77	17032.21	16742.17	16260.45	15628.54	14890.21	14130.62
631.00	17156.41	17029.63	16705.98	16268.40	15617.71	14893.59	14149.37
632.00	17153.78	17067.61	16755.68	16262.69	15619.10	14899.08	14149.88
633.00	17191.87	17065.13	16744.61	16262.00	15602.72	14892.92	14140.51
634.00	17193.88	17073.99	16754.29	16260.65	15618.32	14906.53	14159.94
635.00	17176.51	17059.62	16740.06	16265.81	15633.05	14905.46	14163.60
636.00	17194.22	17091.27	16757.31	16281.39	15638.26	14912.95	14178.45
637.00	17175.27	17091.44	16746.47	16263.75	15630.48	14919.96	14189.44
638.00	17191.85	17071.09	16756.71	16271.51	15628.53	14926.15	14191.95
639.00	17196.18	17094.02	16784.08	16279.50	15647.90	14931.48	14204.45
640.00	17222.35	17130.88	16768.14	16297.69	15657.43	14940.55	14218.29
641.00	17180.22	17092.39	16765.82	16285.40	15641.56	14949.04	14221.28
642.00	17210.51	17117.57	16778.58	16276.11	15655.45	14958.62	14243.96
643.00	17180.91	17092.32	16756.36	16297.08	15673.64	14975.31	14257.93
644.00	17204.88	17112.63	16772.06	16295.87	15678.53	14982.50	14263.60
645.00	17192.56	17100.54	16799.09	16327.59	15676.20	14984.05	14273.15
646.00	17192.81	17076.63	16786.61	16315.66	15691.97	15005.47	14302.55
647.00	17173.77	17090.73	16796.79	16314.88	15698.01	15006.00	14313.17
648.00	17181.95	17078.27	16788.55	16335.36	15703.67	15014.57	14317.72
649.00	17196.58	17077.95	16788.66	16323.24	15719.64	15040.90	14332.37
650.00	17171.01	17076.01	16795.53	16327.84	15726.49	15041.53	14361.07
651.00	17196.95	17091.41	16774.92	16335.95	15743.10	15057.37	14390.85
652.00	17216.84	17075.43	16795.10	16346.21	15753.76	15070.60	14387.41
653.00	17188.55	17091.82	16792.70	16360.54	15754.49	15099.79	14411.68
654.00	17211.01	17070.78	16819.90	16360.31	15769.08	15109.20	14421.12
655.00	17191.78	17091.27	16832.35	16369.18	15794.16	15137.87	14449.23
656.00	17205.84	17096.02	16816.96	16387.79	15797.90	15159.27	14466.67
657.00	17195.02	17077.73	16812.48	16400.95	15824.43	15169.76	14474.60
658.00	17213.77	17098.28	16849.39	16388.20	15848.88	15200.68	14506.34
659.00	17230.09	17103.42	16824.50	16426.76	15871.73	15223.45	14557.20
660.00	17228.22	17109.47	16847.02	16440.38	15892.30	15239.51	14568.76
661.00	17250.27	17115.81	16845.73	16463.10	15915.35	15273.97	14603.05
662.00	17230.23	17117.80	16878.78	16500.34	15931.80	15309.86	14635.94
663.00	17225.52	17106.22	16886.20	16504.25	15957.40	15334.73	14675.21
664.00	17222.94	17121.25	16891.81	16531.25	15989.01	15355.39	14709.96
665.00	17232.79	17152.30	16928.19	16561.09	16031.09	15425.42	14743.84
666.00	17260.20	17190.61	16951.19	16596.77	16053.91	15435.31	14783.49
667.00	17301.31	17228.65	16984.15	16605.07	16082.13	15487.24	14837.07
668.00	17314.37	17261.56	17024.81	16641.65	16130.62	15527.22	14898.08
669.00	17404.67	17294.88	17066.76	16676.98	16167.06	15572.64	14927.55
670.00	17433.31	17334.45	17113.71	16728.55	16214.33	15631.07	15001.95
671.00	17480.59	17369.77	17145.35	16776.31	16243.11	15682.04	15064.17
672.00	17520.74	17433.61	17184.91	16807.85	16304.99	15732.30	15113.02
673.00	17591.99	17518.51	17255.22	16865.98	16349.01	15792.33	15173.33
674.00	17632.09	17566.36	17335.06	16929.88	16415.00	15849.79	15255.47
675.00	17702.93	17642.95	17393.55	16979.51	16484.50	15921.88	15315.46
676.00	17744.90	17696.93	17444.76	17038.65	16539.04	16001.21	15398.14
677.00	17809.82	17763.70	17530.51	17114.35	16611.74	16071.05	15450.18
678.00	17881.85	17858.43	17615.30	17191.84	16688.13	16134.48	15563.85
679.00	17958.59	17927.47	17702.29	17278.86	16743.97	16232.13	15614.76
680.00	18041.25	17995.38	17783.42	17362.31	16856.35	16311.16	15724.44
