Wavelength(nm)	Efficiency_0mm_slit_height	Efficiency_5mm_slit_height	Efficiency_10mm_slit_height	Efficiency_15mm_slit_height	Efficiency_20mm_slit_height	Efficiency_25mm_slit_height	Efficiency_30mm_slit_height
465.00	0.260335	0.261374	0.261533	0.259244	0.253825	0.245982	0.235443
466.00	0.262760	0.263827	0.263668	0.261362	0.256271	0.248429	0.237663
467.00	0.266171	0.267125	0.266834	0.264203	0.259344	0.251433	0.240555
468.00	0.268543	0.269453	0.268921	0.266091	0.260954	0.253498	0.242514
469.00	0.270680	0.271547	0.270744	0.267535	0.262129	0.254904	0.243941
470.00	0.271571	0.272356	0.271253	0.267834	0.262039	0.254961	0.244106
471.00	0.274728	0.275404	0.274033	0.270196	0.264082	0.256715	0.246181
472.00	0.276504	0.277104	0.275475	0.271282	0.264738	0.257010	0.246848
473.00	0.276583	0.276967	0.275061	0.270508	0.263729	0.255587	0.245701
474.00	0.278578	0.278891	0.276667	0.271661	0.264422	0.255999	0.246354
475.00	0.281009	0.281116	0.278575	0.273116	0.265489	0.256671	0.246772
476.00	0.283337	0.283309	0.280284	0.274448	0.266476	0.257126	0.246940
477.00	0.286662	0.286432	0.283056	0.276655	0.268099	0.258478	0.247939
478.00	0.290692	0.290262	0.286322	0.279446	0.270362	0.260415	0.249281
479.00	0.295082	0.294349	0.289911	0.282415	0.272936	0.262364	0.250879
480.00	0.298983	0.298052	0.292952	0.284919	0.274812	0.263849	0.251998
481.00	0.303908	0.302640	0.296896	0.288230	0.277570	0.266145	0.253779
482.00	0.309153	0.307477	0.301084	0.291671	0.280411	0.268514	0.255695
483.00	0.313531	0.311486	0.304252	0.294292	0.282430	0.269985	0.256748
484.00	0.320230	0.317697	0.309671	0.298806	0.286466	0.273381	0.259556
485.00	0.327009	0.323911	0.314974	0.303370	0.290327	0.276665	0.262316
486.00	0.331534	0.327889	0.318062	0.305791	0.292168	0.278092	0.263166
487.00	0.337846	0.333696	0.322913	0.309933	0.295680	0.280917	0.265468
488.00	0.343815	0.339153	0.327582	0.313853	0.298965	0.283736	0.267539
489.00	0.348069	0.343496	0.331159	0.316745	0.301331	0.285484	0.268764
490.00	0.352938	0.350389	0.337417	0.322294	0.306102	0.289644	0.272095
491.00	0.356070	0.356051	0.342675	0.326861	0.310136	0.292941	0.274705
492.00	0.359747	0.361652	0.348168	0.331847	0.314365	0.296507	0.277345
493.00	0.361934	0.365020	0.352065	0.335259	0.317156	0.298698	0.278557
494.00	0.365545	0.368994	0.357039	0.339746	0.321132	0.301678	0.280419
495.00	0.367593	0.371061	0.360019	0.342454	0.323321	0.302895	0.280467
496.00	0.367637	0.371106	0.360740	0.343108	0.323243	0.302339	0.278416
497.00	0.366635	0.370094	0.360057	0.342210	0.321935	0.300530	0.274738
498.00	0.365608	0.369057	0.358637	0.340757	0.320299	0.298550	0.270619
499.00	0.363593	0.366179	0.355938	0.338275	0.317744	0.295766	0.265283
